@relation GENERATED
@attribute A1 numeric
@attribute A2 numeric
@attribute DEC {MIN,MAJ}
@data
5.856056528697976,6.854114086046708,MIN
4.147215140830484,3.2596546150150916,MIN
6.582805164917483,5.06670527804738,MIN
3.6365269099735347,5.891663189431685,MIN
6.70065629511524,7.070174491409264,MIN
4.348544154918322,5.975141073321764,MIN
2.8623104574243747,4.279394255476246,MIN
5.027355228303467,5.228147428349411,MIN
4.9487878081716286,3.8925012861081547,MIN
5.420192328962661,6.249523890063313,MIN
4.123829896787322,4.0103524163059125,MIN
6.061826260039343,4.900783177800083,MIN
4.411910437270731,5.136485438195599,MIN
6.297528520434858,6.079294479777662,MIN
4.156566321842256,3.624062600657706,MIN
4.627970842633288,5.981085204612864,MIN
4.392268582237771,4.802573902635285,MIN
6.435021505665576,5.588248103953671,MIN
3.724445511117144,4.763290192569365,MIN
5.61006359428127,5.706099234151429,MIN
-7.422026581350377,3.4936505073000297,MIN
-3.415088154626609,3.257948246904513,MIN
-6.15076207505049,5.295245099489828,MIN
-6.347180625380085,2.97750620560059,MIN
-5.070460048237708,1.0722462674035038,MIN
-4.245502136853403,4.018524522347451,MIN
-3.0669908348758232,0.9543951372057458,MIN
-4.331610150667304,2.879474109602362,MIN
-5.510121452644883,3.1151763699978776,MIN
-4.253042730535465,1.5438279673611057,MIN
-4.665521686227618,2.8991159646353215,MIN
-6.0011678284688745,2.97768338476716,MIN
-3.644145224513716,2.5062788639761284,MIN
-5.883316698271116,3.8026412961514655,MIN
-4.992885936776945,1.8646449328994463,MIN
-4.7571836763814295,3.5145607556680574,MIN
-3.8143746347993663,1.6289426725039309,MIN
-6.534771556864278,4.035069914041488,MIN
-4.17774895290912,3.5636653932504565,MIN
-5.356260254886699,3.7993676536459726,MIN
-1.3871280569583178,-5.816766847179663,MIN
-2.1371280569583178,-4.483433513846331,MIN
0.8628719430416822,-6.261211291624107,MIN
-0.6371280569583178,-3.5945446249574418,MIN
2.3628719430416822,-4.927877958290774,MIN
1.9878719430416822,-6.0142977113771945,MIN
0.4616363141685724,-4.6699483143638165,MIN
-0.5383636858314276,-5.558837203252706,MIN
-1.0383636858314276,-4.892170536586039,MIN
0.9616363141685724,-5.855133499549002,MIN
-0.038363685831427574,-4.521800166215669,MIN
1.9616363141685724,-5.188466832882336,MIN
0.055386314168572426,-4.077355721771224,MIN
-0.9446136858314276,-4.744022388437891,MIN
1.0553863141685724,-5.632911277326779,MIN
0.5553863141685724,-4.966244610660112,MIN
-0.4446136858314276,-5.9538989316477675,MIN
1.5553863141685724,-4.620565598314434,MIN
-1.6946136858314276,-5.2872322649811005,MIN
0.3053863141685724,-5.509454487203323,MIN
-7.784881107509136,8.971766720370846,MAJ
2.215118892490864,2.305100053704181,MAJ
-2.784881107509136,-6.583788835184707,MAJ
7.215118892490864,6.749544498148623,MAJ
-5.284881107509136,0.08287783148195782,MAJ
4.715118892490864,-9.875969905143556,MAJ
-0.2848811075091362,3.457363428189777,MAJ
9.715118892490864,-3.2093032384768883,MAJ
-9.816131107509136,-5.4315254606991115,MAJ
0.1838688924908638,7.901807872634221,MAJ
-4.816131107509136,1.235141205967556,MAJ
5.183868892490864,-7.653747682921334,MAJ
-7.316131107509136,5.6795856504119975,MAJ
2.683868892490864,-0.9870810162546662,MAJ
-2.316131107509136,-8.394488423662075,MAJ
7.683868892490864,4.938844909671259,MAJ
-8.566131107509136,-1.7278217569954069,MAJ
1.4338688924908638,-3.9500439792176287,MAJ
-3.566131107509136,9.383289354115703,MAJ
6.433868892490864,2.7166226874490373,MAJ
-6.066131107509136,-6.172266201439851,MAJ
3.933868892490864,7.161067131893479,MAJ
-1.0661311075091362,0.49440046522681413,MAJ
8.933868892490864,-9.135229164402816,MAJ
-9.191131107509136,4.198104168930518,MAJ
0.8088688924908638,-2.4685624977361478,MAJ
-4.191131107509136,-4.690784719958369,MAJ
5.808868892490864,8.642548613374961,MAJ
-6.691131107509136,1.9758819467082955,MAJ
3.308868892490864,-6.913006942180592,MAJ
-1.6911311075091362,6.420326391152738,MAJ
8.308868892490864,-0.24634027551392546,MAJ
-7.941131107509136,-9.382142744649729,MAJ
2.058868892490864,3.951190588683604,MAJ
-2.941131107509136,-2.715476077983061,MAJ
7.058868892490864,-4.937698300205283,MAJ
-5.441131107509136,8.395635033128048,MAJ
4.558868892490864,1.728968366461383,MAJ
-0.4411311075091362,-7.159920522427505,MAJ
9.558868892490864,6.173412810905825,MAJ
-9.503631107509136,-0.493253855760839,MAJ
0.4963688924908638,-7.900661263168248,MAJ
-4.503631107509136,5.4326720701650855,MAJ
